ItemNumber,Item_neg,Item_pos,Block,ITI0,ISI0,ITI,ISI
42, can't whistle, can whistle,2,2.889257153,2.67102637,1.5833,4.4067
43, don't like gardening, like gardening,2,5.414668125,5.53797127,1.2596,2.4096
44, don't like sports, like sports,2,2.966702133,4.11625244,2.6258,2.2412
45, don't like playing clarinet, like playing clarinet,2,4.815747102,4.48172236,3.7226,5.9395
46, don't like wildlife, like wildlife,2,4.470410389,2.17051165,1.1279,2.9102
47, don't like new people, like new people,2,4.27381241,2.41198462,2.1787,3.3202
48, don't like bowling, like bowling,2,2.051130236,3.35300733,2.664,3.258
49, don't like ice cream, like ice cream,3,5.514674265,3.61811304,1.7658,2.0659
50, don't like Starbucks, like Starbucks,3,2.746416741,3.92646868,3.7607,2.5799
51, don't like roller coasters, like roller coasters,3,2.776283345,4.14247651,2.1057,3.5853
52, don't like romance novels, like romance novels,3,4.07462175,3.08097809,2.8345,5.4701
53, don't like mountains, like mountains,3,5.06270638,2.05526199,1.0759,4.4067
54, don't like video chatting, like video chatting,3,2.211043582,2.40319659,2.0518,2.6064
55, don't like soccer, like soccer,3,2.230526509,2.87625004,1.1561,4.2019
56, don't like camping, like camping,3,5.819726974,2.06623717,4.1899,4.6338
57, don't like olives, like olives,3,3.59675378,3.67911175,2.7652,2.1521
58, don't like hiking, like hiking,3,4.952133154,5.9734947,2.1522,2.827
59, don't like riding bikes, like riding bikes,3,2.218327004,3.18239803,3.0051,5.6062
60, not an artist, an artist,3,5.651664831,3.44856076,2.0961,2.6064
61, don't like wearing PJs all day, like wearing PJs all day,3,2.411520711,3.72057725,1.9117,2.3385
62, not a runner, a runner,3,3.680796011,2.44040091,2.8345,4.6885
63, don’t like watching TV, like watching TV,3,2.355288706,2.44236417,1.728,4.5208
64, don’t like young adult lit, like young adult lit,3,2.130901847,2.7912829,2.3554,2.0225
65, don't like watching sunsets, like watching sunsets,4,3.160737615,3.13894615,4.1197,3.0518
66, don't like school, like school,4,2.424353328,2.92967945,1.1633,2.1505
67, don't like juice, like juice,4,4.615012879,2.56000528,1.1279,4.2019
68, don't like painting nails, like painting nails,4,2.073449488,2.80712023,4.0428,3.9772
69, don't like teachers, like teachers,4,2.314572564,4.74747725,2.8018,4.0015
70, don't like road trips, like road trips,4,3.325122103,2.09864808,2.2295,3.2258
71, don't like Netflix, like Netflix,4,2.820859913,2.26130179,3.1616,3.7522
72, don't like politics, like politics,4,3.594872358,5.32863316,3.2502,2.7743
73, don't like being with friends, like being with friends,4,3.342097265,2.46178537,0.99611,3.1062
74, don't like picnics, like picnics,4,2.638287767,2.23847502,2.8428,2.0429
75, don't like drawing, like drawing,4,2.848378577,2.5917946,2.0397,2.4076
76, don't like reality TV, like reality TV,4,5.521170412,5.04715685,1.915,2.2057
77, don't like cooking shows, like cooking shows,4,2.895749377,3.3001174,2.664,3.5144
78, don't like yard sales, like yard sales,4,2.343886715,5.86917418,3.56,5.5052
79, don't like rap, like rap,4,2.635387955,3.77058908,1.8156,2.559
80, not in a book club, in a book club,4,3.11839839,4.6665533,1.8224,2.3792
81, don't like action movies, like action movies,4,3.34321393,5.05217585,4.4597,4.1097
82, don't like classical music, like classical music,4,3.332296657,2.97550552,1.8536,3.2673
83, don't like legos, like legos,4,2.877444824,4.90631713,1.3003,5.6591
84, don't like museums, like museums,4,4.509547375,3.78498759,2.3554,4.1522
85, don't like science class, like science class,4,3.953594688,3.02473198,4.0077,1.9679
86, not thoughtful, thoughtful,4,3.856820043,3.25862118,1.4029,3.9772
87, don't like summer, like summer,4,3.862220897,3.29080807,3.2533,4.6866
88, don't like playing piano, like playing piano,4,2.023331409,2.61273908,3.0051,2.0693
89, don't stand up for others, stand up for others,4,3.145578057,4.18499017,2.9304,3.0482
90, don't like playing chess, like playing chess,4,2.02114927,3.17104138,2.2871,2.6382
91, don't like laser tag, like laser tag,4,3.622745254,2.33254142,1.5433,4.6358
92, don't like baseball, like baseball,4,2.493738595,5.97226471,4.1899,5.2257
93, don't like riding horses, like riding horses,4,3.207265495,2.00073031,3.4154,5.0194
94, don't like cookies, like cookies,4,3.284567723,4.71938732,2.1972,3.1496
95, don't like summer camp, like summer camp,4,2.783029376,4.72127217,1.3565,4.5043
96, don't like history, like history,4,2.922223144,3.08456917,2.2701,3.1185
97, don't like the movies, like the movies,5,2.225982799,2.83304288,,
98, don't like writing poems, like writing poems,5,3.98542573,2.58073647,,
99, don't like board games, like board games,5,5.675675897,4.6686372,,
100, don't like field trips, like field trips,5,2.182871469,4.43948955,,
101, don't like making videos, like making videos,5,3.718974724,2.67061368,,
102, don't like stand-up comedy, like stand-up comedy,5,3.252215006,2.94294743,,
103, don't like philosophy, like philosophy,5,2.457888026,2.07569032,,
104, don't like barbeques, like barbeques,5,2.970020153,2.27396965,,
105, don't like checkers, like checkers,5,3.23367388,5.02618908,,
106, don't like homework, like homework,5,4.308272906,4.00998361,,
107, not a rule breaker, a rule breaker,5,4.967870293,4.55358093,,
108, don't like fast food, like fast food,5,5.244922356,5.63903232,,
109, don't like travel, like travel,5,2.870611152,2.18493623,,
110, don't like volleyball, like volleyball,5,4.305171233,2.63915871,,
111, don't like being alone, like being alone,5,4.173527755,2.59586552,,
112, don't like watching sports, like watching sports,5,4.06008363,4.53708523,,
113, don√ït like phone calls, like phone calls,5,4.777588247,2.8914405,,
114, don't like football, like football,5,5.174677881,3.54719571,,
115, don't like Xbox, like Xbox,5,2.164815462,4.1192037,,
116, don't like sleepovers, like sleepovers,5,3.889526428,2.70465329,,
117, don't like podcasts, like podcasts,5,2.908628186,4.23469258,,
118, don't like writing stories, like writing stories,5,5.710337904,5.2510385,,
119, don't like to stay at home, like to stay at home,5,3.15107181,5.25844965,,
120, don't like coffee, like coffee,5,3.410433175,4.03426325,,
121, don't like whistling, like whistling,,,,,
122, don't like cooking, like cooking,,,,,
123, don't like sushi, like sushi,,,,,
124, don't like sleeping in, like sleeping in,,,,,
125, don't like computer coding, like computer coding,,,,,
126, don't like listening to music, like listening to music,,,,,
127, don't like daydreaming, like daydreaming,,,,,
128, don't like gym class, like gym class,,,,,
129, don't like knitting, like knitting,,,,,
130, don't like to go to swimming, like to go swimming,,,,,
131, don't like animated films, like animated films,,,,,
132, don't like game streaming, like game streaming,,,,,
133, don't like sneakers, like sneakers,,,,,
134, don't like pop music, like pop music,,,,,
135, don't like thrift shopping, like thrift shopping,,,,,
136, don't like computer games, like computer games,,,,,
137, don't like bright clothes, like bright clothes,,,,,
138, not a happy person, a happy person,,,,,
139, don't like storms, like storms,,,,,
140, not good at math, good at math,,,,,
141, don't like playing sports, like playing sports,,,,,
142, don't like singing, like singing,,,,,
143, don't like dancing, like dancing,,,,,
144, don't like photography, like photography,,,,,
145, don't like bugs, like bugs,,,,,
146, don't like snow, like snow,,,,,
147, don't like texting, like texting,,,,,
148, don't like family, like family,,,,,
149, don't like celebrities, like celebrities,,,,,
150, not a good student, a good student,,,,,
151, don't know sign language, know sign language,,,,,
152, don't like breakfast food, like breakfast food,,,,,
153, don't like mini golf, like mini golf,,,,,
154, don't like musicals, like musicals,,,,,
155, not a musician, a musician,,,,,
156, don't like Disney, like Disney,,,,,
157, don't like decorating room, like decorating room,,,,,
158, don't like watching Youtube, like watching Youtube,,,,,
159, don't like arguing, like arguing,,,,,
160, don't like poetry, like poetry,,,,,
161, don't like shopping online, like shopping online,,,,,
162, don't like superhero movies, like superhero movies,,,,,
163, don't like aquariums, like aquariums,,,,,
164, not close with family, close with family,,,,,
165, don't like having a crush, like having a crush,,,,,
166, don't like sewing, like sewing,,,,,
167, don't like babysitting, like babysitting,,,,,
168, don't like country music, like country music,,,,,
169, don't like scary movies, like scary movies,,,,,
170, don't like cats, like cats,,,,,
171, don't like hip hop, like hip hop,,,,,
172, don't like group chats, like group chats,,,,,
173, not an activist, an activist,,,,,
174, don't like birds, like birds,,,,,
175, don't like keeping a journal, like keeping a journal,,,,,
176, don't like comic books, like comic books,,,,,
177, don't care about the environment, care about the environment,,,,,
178, not an actor, an actor,,,,,
179, don't like rock music, like rock music,,,,,
180, don't like friends, like friends,,,,,
181, don't like watching movies, like watching movies,,,,,
182, don't like arts and crafts, like arts and crafts,,,,,
183, don't like documentaries, like documentaries,,,,,
184, don't like English class, like English class,,,,,
185, don't like funny movies, like funny movies,,,,,
186, not shy, shy,,,,,
187, don't like eating healthy, like eating healthy,,,,,
188, don't like news, like news,,,,,
189, don't like beaches, like beaches,,,,,
190, don't like doing splits, like doing splits,,,,,
191, don't like ballet, like ballet,,,,,
192, not loving, loving,,,,,
193, don't like lunch time, like lunch time,,,,,
194, not a vegan, a vegan,,,,,
195, not popular, popular,,,,,
196, don't like malls, like malls,,,,,
197, not funny, funny,,,,,
198, don't like magazines, like magazines,,,,,
199, not religious, religious,,,,,
200, don't like kids at school, like kids at school,,,,,
201, don't have a job, have a job,,,,,
202, don't like football, like football,,,,,
203, not confident, confident,,,,,
204, not a vegetarian, a vegetarian,,,,,
205, don't like basketball, like basketball,,,,,
206, don't like shopping, like shopping,,,,,
207, don't speak French, speak French,,,,,
208, don't like libraries, like libraries,,,,,
209, don't play video games, play video games,,,,,
210, don't like guitars, like guitars,,,,,
211, don't like candy, like candy,,,,,
