record_id,item,value,,
SCN_219,socrew145,4,pos,
SCN_219,socrew146,4,pos,
SCN_219,socrew147,2,neg,1
SCN_219,socrew148,4,pos,
SCN_219,socrew149,4,pos,
SCN_219,socrew150,4,pos,1
SCN_219,socrew151,2,neg,1
SCN_219,socrew152,4,pos,
SCN_219,socrew153,4,pos,
SCN_219,socrew154,2,neg,
SCN_219,socrew155,4,pos,
SCN_219,socrew156,4,pos,
SCN_219,socrew157,4,pos,
SCN_219,socrew158,4,pos,
SCN_219,socrew159,2,neg,
SCN_219,socrew160,2,neg,
SCN_219,socrew161,2,neg,1
SCN_219,socrew162,4,pos,
SCN_219,socrew163,4,pos,
SCN_219,socrew164,4,pos,
SCN_219,socrew165,2,neg,
SCN_219,socrew166,2,neg,
SCN_219,socrew167,2,neg,
SCN_219,socrew168,1,neg,
SCN_219,socrew169,4,pos,
SCN_219,socrew170,5,pos,
SCN_219,socrew171,2,neg,
SCN_219,socrew172,4,pos,
SCN_219,socrew173,4,pos,
SCN_219,socrew174,4,pos,
SCN_219,socrew175,4,pos,
SCN_219,socrew176,4,pos,
SCN_219,socrew177,4,pos,1
SCN_219,socrew178,2,neg,
SCN_219,socrew179,2,neg,
SCN_219,socrew180,4,pos,
SCN_219,socrew181,4,pos,
SCN_219,socrew182,4,pos,
SCN_219,socrew183,2,neg,
SCN_219,socrew184,4,pos,
SCN_219,socrew185,4,pos,1
SCN_219,socrew186,2,neg,1
SCN_219,socrew187,4,pos,1
SCN_219,socrew188,2,neg,
SCN_219,socrew189,4,pos,
SCN_219,socrew190,4,pos,1
SCN_219,socrew191,2,neg,1
SCN_219,socrew192,4,pos,
SCN_219,socrew193,4,pos,
SCN_219,socrew194,2,neg,1
SCN_219,socrew195,4,pos,
SCN_219,socrew196,4,pos,
SCN_219,socrew197,4,pos,
SCN_219,socrew198,4,pos,
SCN_219,socrew199,4,pos,
SCN_219,socrew200,4,pos,1
SCN_219,socrew201,2,neg,
SCN_219,socrew202,2,neg,
SCN_219,socrew203,4,pos,
SCN_219,socrew204,4,pos,
SCN_219,socrew205,4,pos,
SCN_219,socrew206,4,pos,
SCN_219,socrew207,2,neg,
SCN_219,socrew208,4,pos,
SCN_219,socrew209,5,pos,1
SCN_219,socrew210,2,neg,
SCN_219,socrew211,4,pos,
SCN_219,open1___1,1,neg,
